status,measurement,scope,n,method,source_file_bytes_basis,whole_output_bytes,compression_ratio_x,amortized_whole_output_bpw,delta_bpw_vs_empirical_bf16_h0,delta_bpw_vs_8_plus_iid_exponent_h0,delta_bpw_vs_finite_adjacent_exponent_reference,output_size_input_kind,output_size_is_exact_integer_input
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,Brevis,16060556376,10579234560,1.518120832363887,10.53936775731658,-0.00935990881975357,-0.07748712425714643,-0.06961014644649843,size_bytes,True
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,ZipNN,16060556376,10659934698,1.5066280264374656,10.61976378480084,0.07103611866450699,0.0029089032271141235,0.010785881037762124,size_bytes,True
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,DFloat11,16060556376,10895502042,1.4740538172623656,10.854443416483976,0.30571575034764287,0.23758853491025,0.245465512720898,size_bytes,True
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,Zstd-9,16060556376,12380929936,1.2972011358614315,12.334273621878559,1.7855459557422257,1.7174187403048329,1.7252957181154809,size_bytes,True
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,libdeflate-1,16060556376,12499823800,1.2848626215035126,12.452719446071002,1.9039917799346693,1.8358645644972764,1.8437415423079244,size_bytes,True
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,LZ4-HC-9,16060556376,15936490262,1.0077850337157255,15.876435169248431,5.327707503112098,5.259580287674705,5.267457265485353,size_bytes,True
complete,explicit whole-output byte count joined to measured full-model scan; n=1 checkpoint,full-model BF16 checkpoint scan,1,Snappy,16060556376,16060980257,0.9999736080243411,16.000456035972793,5.451728369836459,5.3836011543990665,5.3914781322097145,size_bytes,True
