status,measurement,scope,n,checkpoint,shard,cache,workers,budget,calibration_tensors,source_bytes,output_bytes,compression_ratio_x,wall_seconds,throughput_mib_per_second,speedup_vs_1_worker,parallel_efficiency_percent,peak_rss_bytes,peak_rss_gib,exact_verified,run_id,attempt_id
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,1,1,32,4976698672,3279827860,1.517365814436371,37.72787280398188,125.79955749528962,1.0,100.0,5160763392,4.80633544921875,True,919b3d41eb877e7d1625,80b75ec68a754f04b09369223ea885e9
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,4,1,32,4976698672,3279827860,1.517365814436371,18.791696913016494,252.566318302631,2.0076884476488557,50.19221119122139,5668102144,5.278831481933594,True,4580968c0a071ce022a8,531cd8bf0ca14f2ba2deab1df4b6f771
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,8,1,32,4976698672,3279827860,1.517365814436371,13.820332025992684,343.4179218743181,2.7298817953884846,34.123522442356055,5857779712,5.455482482910156,True,8b89576dbef10dbc007e,067fd9a4a9a84c84a27ad6a110e9c909
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,16,1,32,4976698672,3279827860,1.517365814436371,10.760587695986032,441.067889419267,3.506116382291584,21.9132273893224,6341541888,5.9060211181640625,True,069e1173b14ac7da3f8b,8715e8183d1444f4925e88f3b1f1ee4b
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,32,1,32,4976698672,3279827860,1.517365814436371,9.02600660600001,525.8305152163864,4.179907510692757,13.062210970914863,8630181888,8.037483215332031,True,874e84d1d58cfb6c9adb,549c19baaa2c4e1abf819ad9c1183b20
