status,measurement,scope,n,checkpoint,shard,cache,search_budget,variant,phog_enabled,astar_enabled,workers,calibration_tensors,source_bytes,output_bytes,compression_ratio_x,wall_seconds,throughput_mib_per_second,extra_output_bytes_vs_full,compression_ratio_delta_vs_full,speedup_vs_full,selected_budget_for_paper,selected_for_paper,peak_rss_bytes,peak_rss_gib,exact_verified,run_id,attempt_id
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,8,full,True,True,32,32,4976698672,3280417329,1.5170931539729102,34.52005396800814,137.48963742577115,0,0.0,1.0,32,False,8670707712,8.075225830078125,True,e79c27d5fac5de5d8dd9,ad351edc85ea457c8bbaa2745304c820
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,8,no-astar,True,False,32,32,4976698672,3280417329,1.5170931539729102,29.165526719996706,162.7314928869568,0,0.0,1.1835909668087778,32,False,8123801600,7.565879821777344,True,4d9c5e5fd68071d60da1,9ca7f4ceec1f4f6da08dc9f11bc7c98a
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,8,no-phog,False,True,32,0,4976698672,3280417329,1.5170931539729102,19.316654832015047,245.70246480323894,0,0.0,1.787061697183473,32,False,8022962176,7.471965789794922,True,1bb7085c53bbaa8826b8,36a5d5a700e947e29ad5b7436502546a
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,8,no-phog-no-astar,False,False,32,0,4976698672,3280417329,1.5170931539729102,16.35270595201291,290.236350968891,0,0.0,2.1109689166617067,32,False,7930204160,7.385578155517578,True,4a158626ed687142460d,a488104734724e888326793afeea2afd
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,32,full,True,True,32,32,4976698672,3277291303,1.518540224802226,140.23956002297928,33.84315882909074,0,0.0,1.0,32,True,17144524800,15.967082977294922,True,c6b967fdcb3c439e85de,ea2b5bb8813e4ebfb53f6603d6765115
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,32,no-astar,True,False,32,32,4976698672,3280164639,1.517210024408168,118.08578466801555,40.19238824827849,2873336,-0.0013302003940578455,1.187607470427084,32,True,18115825664,16.87167739868164,True,c9736f940e8442407e7e,32ca7a8f6052403aa83e8b902b41ae04
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,32,no-phog,False,True,32,0,4976698672,3277291692,1.5185400445582309,88.8145251320093,53.43889073240061,389,-1.8024399506266775e-07,1.5790160428661244,32,True,8690745344,8.093887329101562,True,3eff8e7c47ce7ed57196,54a97ab6a54647a2985fd61f451efaa4
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,32,no-phog-no-astar,False,False,32,0,4976698672,3280414500,1.5170944623004197,70.69010687200353,67.14022532987826,3123197,-0.0014457625018062803,1.983864026078032,32,True,17335062528,16.144535064697266,True,374a4aa68a3836c97a4f,71ecd9d1718b4c66aa29773b2c3626be
