schema_version,experiment_id,checkpoint,checkpoint_fingerprint,method,profile,cache_mode,operation,summary_status,expected_repetitions,n,valid_repetition_indices,missing_repetition_indices,invalid_repetition_indices,unexpected_repetition_indices,all_round_trips_exact,source_bytes,declared_cpu_slots,configured_shard_jobs,effective_shard_jobs,processes_per_command,cpu_slots_per_command,codec_workers_per_process,expected_threads_per_process,execution_model,cpu_affinity,torch_intra_op_threads,torch_inter_op_threads,median_seconds,q1_seconds,q3_seconds,iqr_seconds,min_seconds,max_seconds,median_gib_per_second,q1_gib_per_second,q3_gib_per_second,iqr_gib_per_second,min_gib_per_second,max_gib_per_second,median_archive_bytes,median_compression_ratio_x,q1_compression_ratio_x,q3_compression_ratio_x,iqr_compression_ratio_x,min_compression_ratio_x,max_compression_ratio_x,summary_mode,publication_eligible
2,f17cb4af4188f34f2dcb,llama-3.1-70b-bf16,8b2adb0ee6330643b18f3b19c66f807d32fc6ef48092760979378a305f3d447e,brevis,practical,hot,compress,complete,1,1,[0],[],[],[],True,141107497872,32,32,30,1,1,1,1,one_worker_brevis_process_pool_across_shards,0-31,,,39.248385182989296,39.248385182989296,39.248385182989296,0.0,39.248385182989296,39.248385182989296,3.348331341607824,3.348331341607824,3.348331341607824,0.0,3.348331341607824,3.348331341607824,92732903277,1.5216551287141473,1.5216551287141473,1.5216551287141473,0.0,1.5216551287141473,1.5216551287141473,formal_environment_validated,True
2,f17cb4af4188f34f2dcb,llama-3.1-70b-bf16,8b2adb0ee6330643b18f3b19c66f807d32fc6ef48092760979378a305f3d447e,brevis,practical,hot,decompress,complete,1,1,[0],[],[],[],True,141107497872,32,32,30,1,1,1,1,one_worker_brevis_process_pool_across_shards,0-31,,,21.359961444017245,21.359961444017245,21.359961444017245,0.0,21.359961444017245,21.359961444017245,6.152473568837267,6.152473568837267,6.152473568837267,0.0,6.152473568837267,6.152473568837267,,,,,,,,formal_environment_validated,True
