variant,phog,astar_heuristic,max_expansions,calibration_tensors,workers,source_bytes,output_bytes,archive_percent,wall_seconds,throughput_gib_s,peak_rss_gib
full,True,True,8,32,32,4976698672,3280417329,65.91553045910432,34.52005396800814,0.13426722404860464,8.075225830078125
full,True,True,32,32,32,4976698672,3277291303,65.85271721269284,140.23956002297928,0.033049959794033926,15.967082977294922
no-astar,True,False,8,32,32,4976698672,3280417329,65.91553045910432,29.165526719996706,0.15891747352241875,7.565879821777344
no-astar,True,False,32,32,32,4976698672,3280164639,65.91045299678132,118.08578466801555,0.03925037914870946,16.87167739868164
no-phog,False,True,8,0,32,4976698672,3280417329,65.91553045910432,19.316654832015047,0.23994381328441303,7.471965789794922
no-phog,False,True,32,0,32,4976698672,3277291692,65.85272502911947,88.8145251320093,0.05218641673085997,8.093887329101562
no-phog-no-astar,False,False,8,0,32,4976698672,3280417329,65.91553045910432,16.35270595201291,0.2834339364930576,7.385578155517578
no-phog-no-astar,False,False,32,0,32,4976698672,3280414500,65.91547361419192,70.69010687200353,0.06556662629870924,16.144535064697266
