group,baseline,models,wins,ties,losses,win_rate,win_rate_ci_low,win_rate_ci_high,brevis_geomean_compression_ratio,baseline_geomean_compression_ratio,geomean_compression_advantage,geomean_compression_advantage_ci_low,geomean_compression_advantage_ci_high,brevis_total_byte_compression_ratio,baseline_total_byte_compression_ratio,total_byte_compression_advantage,total_byte_compression_advantage_ci_low,total_byte_compression_advantage_ci_high,macro_archive_saving_fraction,macro_archive_saving_percent,macro_archive_saving_fraction_ci_low,macro_archive_saving_fraction_ci_high,pooled_archive_saving_fraction,pooled_archive_saving_percent,pooled_archive_saving_fraction_ci_low,pooled_archive_saving_fraction_ci_high,total_archive_bytes_saved
all,zstd-9,12,12,0,0,1.0,1.0,1.0,1.4003864156744483,1.2320537356671328,1.1366277095991812,1.1046429193921683,1.1635443072428995,1.5114173223348089,1.2951045101477832,1.1670234413455502,1.135397264889786,1.172996621819893,0.11922750068232109,11.922750068232109,0.09347869439642131,0.14030676267345663,0.14311918289574047,14.311918289574047,0.11925100488595926,0.14748262578237856,236517836007
all,zipnn,12,10,0,2,0.8333333333333334,0.5833333333333334,1.0,1.4003864156744483,1.3945351808340418,1.004195831643994,0.9992937257559896,1.0074843223251173,1.5114173223348089,1.5007188917193353,1.007128870486342,1.0063412871057262,1.0078693367398621,0.0041498560740953925,0.41498560740953927,-0.0007659090497586465,0.007428094552078964,0.0070784094223207885,0.7078409422320788,0.006301328571872346,0.007807893794357111,10095020238
all,lz4-hc-9,12,12,0,0,1.0,1.0,1.0,1.4003864156744483,1.0054795266269634,1.3927547787792964,1.3034350274692772,1.477531475485862,1.5114173223348089,1.007962992235833,1.4994769986368532,1.427774551448098,1.5069554097847053,0.2774648426586513,27.746484265865128,0.22737735743540544,0.32184684457463003,0.3331008072087258,33.310080720872584,0.29960931227629733,0.3364103585897086,707297238646
all,libdeflate-1,12,12,0,0,1.0,1.0,1.0,1.4003864156744483,1.2237635964738784,1.1443275643347182,1.1087520611007187,1.1748611617919549,1.5114173223348089,1.2819339119176107,1.1790134485746775,1.1437689327438518,1.185857084235637,0.12492484179122187,12.492484179122187,0.09636977384914841,0.14847841651516108,0.15183325414234145,15.183325414234144,0.12569753246383772,0.15672806336124548,253496593843
all,snappy,12,12,0,0,1.0,1.0,1.0,1.4003864156744483,0.9999647389937671,1.4004357964497955,1.3119376873600446,1.489150640757912,1.5114173223348089,0.9998892459176814,1.5115847365151485,1.4365112300503657,1.519310446033828,0.28113275245224095,28.113275245224095,0.23199070947835362,0.32703493113360277,0.3384426450974696,33.84426450974696,0.30386899795709643,0.3418066711707811,724442711993
