group,baseline,models,wins,ties,losses,win_rate,win_rate_ci_low,win_rate_ci_high,brevis_geomean_compression_ratio,baseline_geomean_compression_ratio,geomean_compression_advantage,geomean_compression_advantage_ci_low,geomean_compression_advantage_ci_high,brevis_total_byte_compression_ratio,baseline_total_byte_compression_ratio,total_byte_compression_advantage,total_byte_compression_advantage_ci_low,total_byte_compression_advantage_ci_high,macro_archive_saving_fraction,macro_archive_saving_percent,macro_archive_saving_fraction_ci_low,macro_archive_saving_fraction_ci_high,pooled_archive_saving_fraction,pooled_archive_saving_percent,pooled_archive_saving_fraction_ci_low,pooled_archive_saving_fraction_ci_high,total_archive_bytes_saved
BF16,zstd-9,8,8,0,0,1.0,1.0,1.0,1.5173616160251533,1.2951177777962148,1.1716012566881067,1.1694179306377168,1.1737630755415873,1.5193020979016238,1.2978766635976553,1.1706059138856748,1.1694647104210396,1.175222463929234,0.14646431370456767,14.646431370456767,0.144871273322922,0.14803701827874285,0.1457415444958505,14.57415444958505,0.14490793002212743,0.14909727248013616,235307722963
BF16,zipnn,8,8,0,0,1.0,1.0,1.0,1.5173616160251533,1.506014742924578,1.0075343705324826,1.0071204021739146,1.0079528389038652,1.5193020979016238,1.5083840755896714,1.0072382243280342,1.0070681332699656,1.008116946541499,0.0074778549106394076,0.7477854910639408,0.00706999196220325,0.007889986016289272,0.007186208935689498,0.7186208935689498,0.007018525397100057,0.008051592198053455,9983300380
BF16,lz4-hc-9,8,8,0,0,1.0,1.0,1.0,1.5173616160251533,1.008007569405484,1.5053077596630378,1.5025639726154665,1.507874486115528,1.5193020979016238,1.0081202503414826,1.507064358033665,1.5042128814602278,1.5093275630192622,0.33568178653322844,33.568178653322846,0.33446829917939946,0.33681399930412514,0.3364583306151933,33.64583306151933,0.33520048104544803,0.3374532974143812,699367078005
BF16,libdeflate-1,8,8,0,0,1.0,1.0,1.0,1.5173616160251533,1.2817000806485217,1.183866365411626,1.1816097531212315,1.1863381686186896,1.5193020979016238,1.2842799757793097,1.1829991330198084,1.1816723133230063,1.1886290964089463,0.1553065971748877,15.53065971748877,0.15369598577865481,0.15706658188809863,0.15469084288563392,15.469084288563392,0.1537417025639889,0.15869466512205316,252401035312
BF16,snappy,8,8,0,0,1.0,1.0,1.0,1.5173616160251533,0.9999742191068228,1.5174007359714343,1.5148499510644748,1.5198450460377981,1.5193020979016238,0.9998888166527377,1.5194710377776721,1.5163156229632957,1.521069334524285,0.34097642256973476,34.09764225697348,0.339867019391051,0.3420373038632799,0.3418762351255034,34.18762351255034,0.3405066960591734,0.3425677730116036,716478955862
FP16,zstd-9,2,2,0,0,1.0,1.0,1.0,1.1669299276086498,1.0874021288276854,1.0731355923191932,1.0662968073464802,1.0800182384191088,1.1643792198048302,1.0877076791490736,1.070489104862933,1.0662968073464802,1.080018238419109,0.06813226294557474,6.813226294557475,0.06217481557640823,0.07408971031474126,0.06584756868866828,6.584756868866829,0.06217481557640823,0.07408971031474126,606905395
FP16,zipnn,2,0,0,2,0.0,0.0,0.0,1.1669299276086498,1.179324783574522,0.9894898706967699,0.9812937707027909,0.9977544273110972,1.1643792198048302,1.180525285936025,0.9863229815375003,0.9812937707027908,0.9977544273110972,-0.01065672473338304,-1.0656724733383038,-0.019062822832159685,-0.0022506266346063943,-0.013866673207978693,-1.3866673207978693,-0.019062822832159685,-0.0022506266346063943,-117758004
FP16,lz4-hc-9,2,2,0,0,1.0,1.0,1.0,1.1669299276086498,1.000506449802826,1.1663392353328872,1.1601094999453836,1.1726024241168158,1.1643792198048302,1.0003889997018407,1.1639264527617412,1.1601094999453836,1.1726024241168158,0.1426042176233447,14.260421762334468,0.13801240309895005,0.1471960321477393,0.14083918478936525,14.083918478936525,0.13801240309895005,0.1471960321477393,1411393275
FP16,libdeflate-1,2,2,0,0,1.0,1.0,1.0,1.1669299276086498,1.0864629118943252,1.0740632881558971,1.066835182281986,1.0813403664628443,1.1643792198048302,1.0869179073442816,1.0712669392390577,1.066835182281986,1.0813403664628443,0.06893494194569635,6.8934941945696355,0.06264808603239341,0.07522179785899931,0.06652584582669935,6.652584582669935,0.06264808603239341,0.07522179785899931,613602485
FP16,snappy,2,2,0,0,1.0,1.0,1.0,1.1669299276086498,0.9999884968856732,1.1669433510914302,1.1603303129001377,1.1735940787868522,1.1643792198048302,0.9999969421180835,1.164382780349878,1.1603303129001377,1.1735940787868524,0.143046534453022,14.3046534453022,0.1381764408958746,0.14791662801016942,0.14117589432272748,14.117589432272748,0.1381764408958746,0.14791662801016942,1415322218
